First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Loss,Draw
Minoru,Toyonaga,NULL,71,195,NULL,Southpaw,2,5,0
Slim,Trabelsi,NULL,75,235,NULL,NULL,5,0,0
Roberto,Traven,Spider,75,227,NULL,Orthodox,6,4,1
Bryan,Travers,NULL,0,155,NULL,NULL,15,4,0
Alexander,Trevino,NULL,0,170,NULL,NULL,7,7,0
Francisco,Trevino,Sitkayan,69,155,70,Orthodox,13,3,0
Angelo,Trevino,Baby Monsta,71,170,NULL,Switch,7,3,0
Frank,Trigg,Twinkle Toes,69,170,71,Southpaw,21,9,0
Francisco,Trinaldo,Massaranduba,69,170,70,Southpaw,28,9,0
Damien,Trites,The Omen,71,165,NULL,NULL,7,6,0
Michael,Trizano,The Lone Wolf,71,145,71,Orthodox,11,3,0
Antonio,Trocoli,Malvado,77,205,82,Orthodox,11,3,0
Tor,Troeng,The Hammer,74,185,NULL,Orthodox,16,7,1
Aaron,Trujillo,NULL,65,125,NULL,NULL,0,1,0
Reynaldo,Trujillo,The Truth,69,155,NULL,NULL,21,19,0
Abel,Trujillo,Killa,68,155,70,Orthodox,15,8,0
Arman,Tsarukyan,Ahalkalakets,67,155,72,Orthodox,18,3,0
Chris,Tuchscherer,The Crowbar,74,258,76,Orthodox,21,4,0
Jon,Tuck,Super Saiyan,71,155,73,Orthodox,10,5,0
Gavin,Tucker,Guv'nor,66,145,66,Southpaw,13,2,0
Jumabieke,Tuerxun,The Wild Wolf,67,135,NULL,Orthodox,19,4,1
Tom,Tuggle,The Law,74,250,NULL,Orthodox,0,3,0
Blair,Tugman,NULL,72,135,NULL,NULL,10,6,0
Tai,Tuivasa,Bam Bam,74,264,75,Southpaw,15,4,0
Zubaira,Tukhugov,Warrior,68,145,68,Orthodox,20,5,1
Teila,Tuli,NULL,72,430,NULL,Orthodox,0,1,0
Albert,Tumenov,Einstein,71,170,73,Orthodox,18,4,0
Ricky,Turcios,NULL,69,135,71,Orthodox,12,3,0
Anton,Turkalj,The Pleasure Man,76,205,78,Orthodox,8,1,0
Wellington,Turman,The Prodigy,72,185,72,Orthodox,18,6,0
Courtney,Turner,NULL,74,170,NULL,NULL,0,3,0
Jalin,Turner,The Tarantula,75,155,77,Southpaw,13,5,0
Austin,Tweedy,NULL,69,155,NULL,Orthodox,8,2,0
Marcin,Tybura,Tybur,75,249,78,Orthodox,23,7,0
Takeru,Uchida,NULL,65,125,68,Southpaw,6,1,0
Alberto,Uda,NULL,75,185,NULL,Orthodox,12,2,0
Ryuki,Ueyama,NULL,71,180,NULL,Southpaw,12,18,5
Christian,Uflacker,NULL,71,170,NULL,NULL,5,0,0
Andy,Uhrich,NULL,72,170,NULL,NULL,11,6,0
Tagir,Ulanbekov,NULL,67,125,70,Southpaw,14,2,0
Carlos,Ulberg,Black Jag,76,205,77,Orthodox,8,1,0
Gasan,Umalatov,Cobra,71,170,71,Orthodox,17,4,2
Jeremy,Umphries,NULL,0,160,NULL,NULL,5,2,0
Zach,Underwood,NULL,74,185,NULL,NULL,13,7,0
Caol,Uno,Uno Shoten,67,155,70,Southpaw,33,19,5
Kengo,Ura,Uraken,69,165,NULL,NULL,14,12,2
Logan,Urban,Hulk,72,170,72,Orthodox,5,1,0
Hector,Urbina,El Toro,71,170,73,Orthodox,17,10,1
Elias,Urbina,NULL,75,185,77,Southpaw,3,1,0
Gilbert,Urbina,The RGV Bad Boy,75,185,75,Orthodox,6,3,0
Nick,Urso,NULL,66,125,66,Southpaw,10,3,0
Yasuhiro,Urushitani,NULL,65,125,NULL,Southpaw,21,8,6
Sho Patrick,Usami,Savage,69,155,70,Orthodox,4,1,0
Kamaru,Usman,The Nigerian Nightmare,72,170,76,Switch,20,2,0
Mohammed,Usman,The Motor,74,239,79,Orthodox,9,2,0
Darren,Uyenoyama,BC,66,125,65,Orthodox,10,6,0
Richie,Vaculik,Vas,66,125,69,Orthodox,10,4,0
Egidijus,Valavicius,NULL,72,200,NULL,Orthodox,29,12,0
Genaro,Valdez,Rayadito,69,155,72,Orthodox,10,1,0
Charlie,Valencia,NULL,63,135,64,Orthodox,12,7,0
Victor,Valenzuela,Joe Boxer,70,155,NULL,NULL,13,6,2
Ivan,Valenzuela,Bam Bam,74,185,77,Orthodox,8,2,0
Timur,Valiev,Lucky,66,135,67,Orthodox,18,3,0
Victor,Valimaki,The Matrix,72,205,NULL,Orthodox,18,10,0
Andrew,Valladerez,NULL,0,135,NULL,NULL,5,7,0
Isaac,Vallie-Flagg,NULL,68,155,70,Orthodox,16,7,1
Mike,van Arsdale,NULL,74,205,NULL,Switch,8,5,0
Matt,Van Buren,Gutter,77,205,NULL,NULL,7,6,0
Ron,van Clief,The Black Dragon,70,190,NULL,Orthodox,0,1,0
Lloyd,Van Dams,NULL,73,240,NULL,Southpaw,0,1,0
Cameron,VanCamp,Jumpman,74,155,74,Switch,15,7,1
Chad,Vance,NULL,72,185,NULL,Orthodox,7,5,0
Jared,Vanderaa,NULL,76,265,80,Orthodox,12,10,0
Austin,Vanderford,AK-47,71,170,NULL,Orthodox,4,0,0
Lando,Vannata,Groovy,69,145,71,Orthodox,12,6,2
Paige,VanZant,12 Gauge,64,115,65,Orthodox,8,5,0
Paul,Varelans,The Polar Bear,80,300,NULL,Orthodox,9,9,0
Kazula,Vargas,NULL,68,155,71,Southpaw,12,5,0
Jamie,Varner,NULL,68,155,71,Orthodox,21,11,1
Guilherme,Vasconcelos,Bomba,72,185,NULL,Orthodox,9,4,0
Linton,Vassell,The Swarm,76,205,NULL,NULL,18,5,0
Billy,Vaughan,NULL,66,155,NULL,NULL,12,17,0
Yuri,Vaulin,NULL,76,197,NULL,Southpaw,0,1,0
Javier,Vazquez,Showtime,67,145,69,Southpaw,16,5,0
Manny,Vazquez,NULL,70,125,72,Orthodox,11,2,0
Matt,Veach,NULL,71,155,NULL,Orthodox,17,5,0
Joe,Vedepo,The Doctor,72,185,NULL,Orthodox,18,9,0
Kelly,Velasco,Killer,69,135,NULL,Orthodox,2,1,0
Cain,Velasquez,NULL,73,240,77,Orthodox,14,3,0
David,Velasquez,Little,65,145,NULL,Orthodox,10,10,0
Bojan,Velickovic,Serbian Steel,72,170,76,Southpaw,15,6,1
Karlos,Vemola,NULL,72,185,75,Orthodox,17,5,0
Luigi,Vendramini,The Italian Stallion,68,155,73,Orthodox,9,3,0
Jerrel,Venetiaan,NULL,73,195,NULL,Orthodox,4,3,0
Scott,Ventimiglia,Meant to Kill Ya,71,185,NULL,NULL,14,6,1
Brandon,Vera,The Truth,75,230,78,Orthodox,15,7,0
Kerry,Vera,NULL,67,135,NULL,Orthodox,2,0,0
Marlon,Vera,Chito,68,135,70,Switch,20,7,1
Ernie,Verdicia,NULL,71,199,NULL,Orthodox,0,1,0
Joe,Veres,NULL,67,155,NULL,Orthodox,4,3,0
Nikolay,Veretennikov,NULL,73,170,74,Orthodox,9,4,0
CJ,Vergara,NULL,66,125,68,Orthodox,10,4,1
Renato,Verissimo,Charuto,73,170,NULL,Orthodox,7,5,0
Bryan,Vetell,NULL,75,265,NULL,Southpaw,4,3,0
Marvin,Vettori,The Italian Dream,72,185,74,Southpaw,18,6,1
Hugo,Viana,Wolverine,66,135,67,Orthodox,8,4,0
Guilherme,Viana,NULL,76,205,NULL,NULL,7,3,0
Polyana,Viana,Dama de Ferro,65,115,67,Orthodox,13,5,0
Vitor,Vianna,NULL,0,205,NULL,Orthodox,12,3,1
James,Vick,The Texecutioner,75,155,76,Orthodox,13,5,0
Tamires,Vidal,Tractor,66,135,68,Orthodox,7,1,0
Milton,Vieira,Miltinho,72,145,NULL,Orthodox,13,8,2
Reginaldo,Vieira,NULL,67,135,65,Orthodox,13,5,0
Ketlen,Vieira,Fenomeno,68,135,68,Orthodox,13,2,0
Rodolfo,Vieira,NULL,72,185,73,Orthodox,8,2,0
Steve,Vigneault,Lionheart,70,185,NULL,Orthodox,12,6,0
Alejandro,Villalobos,NULL,67,145,NULL,NULL,17,5,0
DeMarco,Villalona,NULL,69,185,NULL,NULL,1,3,0
Gian,Villante,NULL,75,230,76,Orthodox,17,14,0
Ike,Villanueva,Hurricane,73,205,73,Orthodox,18,14,0
Ruben,Villareal,Warpath,76,265,NULL,Orthodox,22,28,3
Armando,Villarreal,La Lumbre,67,135,66,Southpaw,5,2,0
Pablo,Villaseca,El Gallo,67,155,NULL,NULL,12,3,0
Joey,Villasenor,Smokin' Joe,72,185,NULL,Orthodox,29,10,0
Danillo,Villefort,Indio,73,185,NULL,Orthodox,15,5,0
Yuri,Villefort,NULL,72,170,73,Orthodox,10,5,0
Marcos,Vinicius,Vina,69,125,NULL,Orthodox,23,11,1
Brandon,Visher,The Viper,66,135,68,Orthodox,13,3,0
Falaniko,Vitale,Niko,70,185,NULL,Orthodox,30,11,0
Cheyanne,Vlismas,The Warrior Princess,63,115,63,Switch,7,2,0
Bobby,Voelker,Vicious,72,170,74,Orthodox,19,13,0
Alexander,Volkanovski,The Great,66,145,71,Orthodox,25,1,0
Jacob,Volkmann,Christmas,69,155,71,Southpaw,19,7,0
Alexander,Volkov,Drago,79,250,80,Orthodox,35,10,0
Jason,Von Flue,Live Wire,72,170,NULL,Orthodox,14,12,1
Milco,Voorn,NULL,0,220,NULL,Orthodox,20,11,1
Mark,Vorgeas,NULL,70,135,NULL,NULL,5,3,1
Igor,Vovchanchyn,Ice Cold,68,205,NULL,Orthodox,55,10,0
James,Wade,NULL,70,205,NULL,NULL,4,11,0
Chris,Wade,NULL,70,155,70,Orthodox,12,3,0
Neil,Wain,Old School,70,242,NULL,Orthodox,13,4,0
TJ,Waldburger,NULL,71,170,75,Orthodox,16,9,0
Chase,Waldon,NULL,73,185,75,Orthodox,11,2,0
Andre,Walker,NULL,71,205,NULL,Southpaw,1,5,0
Herschel,Walker,NULL,73,215,NULL,Orthodox,2,0,0
Donny,Walker,Eagle Eye,69,135,NULL,NULL,15,10,0
Johnny,Walker,NULL,78,205,82,Orthodox,19,7,0
Brogan,Walker,The Bear,64,125,67,Switch,8,3,0
Ben,Wall,Manimal,70,155,NULL,Orthodox,8,7,1
Crafton,Wallace,Blaze,72,185,NULL,Orthodox,18,6,1
