First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Loss,Draw
Frankie,Edgar,The Answer,66,135,68,Orthodox,23,11,1
Abdul-Kerim,Edilov,NULL,74,205,NULL,Orthodox,17,4,0
Johnny,Eduardo,NULL,67,135,71,Orthodox,28,13,0
Yves,Edwards,NULL,69,155,73,Southpaw,42,22,1
Justin,Edwards,Fast Eddy,70,155,70,Orthodox,9,5,0
Leon,Edwards,Rocky,74,170,74,Southpaw,20,3,0
Te,Edwards,NULL,68,155,72,Orthodox,6,3,0
Adli,Edwards,NULL,0,145,NULL,NULL,4,1,0
Joselyne,Edwards,La Pantera,68,145,70,Orthodox,12,4,0
Tom,Egan,NULL,71,170,NULL,Orthodox,7,5,0
Stephanie,Egger,NULL,66,135,68,Orthodox,8,3,0
Justin,Eilers,The Hammer,73,235,NULL,Orthodox,19,7,1
Jon Olav,Einemo,The Viking,78,253,NULL,Orthodox,6,3,0
Per,Eklund,NULL,70,155,72,Orthodox,14,5,1
John,Elam,NULL,0,NULL,NULL,NULL,2,0,0
Evan,Elder,The Phenom,70,170,72,Switch,7,1,0
John Paul,Elias,NULL,76,205,NULL,NULL,3,1,0
Joao,Elias,Alicate,63,125,64,Southpaw,17,4,1
Saul,Elizondo,NULL,67,135,NULL,NULL,6,8,0
Darren,Elkins,The Damage,70,145,71,Orthodox,28,10,0
Jake,Ellenberger,The Juggernaut,69,170,71,Orthodox,31,15,0
Joe,Ellenberger,Excalibur,69,155,72,Orthodox,15,2,0
Tim,Elliott,NULL,67,125,66,Southpaw,19,12,1
Eddy,Ellis,Fast,69,170,NULL,Orthodox,21,16,1
Lisa,Ellis,NULL,64,115,NULL,NULL,15,11,0
Anna,Elmose,Panda,63,115,NULL,Orthodox,3,2,0
Cameron,Else,Camchida,69,135,71,Switch,10,6,0
Aaron,Ely,The Cyborg,68,135,NULL,NULL,5,2,0
Sovannahry,Em,The Sweet Savage,64,135,NULL,NULL,3,1,0
Ramazan,Emeev,Gorets,70,170,76,Southpaw,20,6,0
Aleksander,Emelianenko,NULL,78,255,NULL,Orthodox,23,7,0
Fedor,Emelianenko,The Last Emperor,72,230,74,Orthodox,36,5,0
Rob,Emerson,The Saint,69,155,70,Orthodox,18,12,0
Jamall,Emmers,Pretty Boy,70,145,74,Orthodox,18,6,0
Josh,Emmett,NULL,66,145,70,Orthodox,18,2,0
Marius,Enache,NULL,71,155,NULL,NULL,3,3,0
Kevin,Engel,The Hitman,74,170,NULL,NULL,5,1,0
Kolton,Englund,White Assassin,70,155,69,Orthodox,9,4,0
Oliver,Enkamp,NULL,72,170,77,Switch,7,2,0
Alex,Enlund,NULL,70,145,NULL,Orthodox,14,2,0
Kenny,Ento,Tha' Dragon,74,192,NULL,NULL,14,15,0
Ian,Entwistle,Enty,65,135,NULL,Orthodox,9,3,0
Andy,Enz,Tank Mode,75,185,78,Orthodox,10,4,0
Won Jin,Eoh,NULL,67,160,NULL,Orthodox,5,5,1
Josh,Epps,NULL,0,130,NULL,NULL,6,7,0
Stephen,Erczeg,NULL,0,125,NULL,NULL,7,1,0
Tom,Erikson,The Big Cat,75,280,NULL,Orthodox,9,4,1
Konstantin,Erokhin,NULL,71,230,NULL,Orthodox,9,3,0
Julian,Erosa,Juicy J,73,145,74,Southpaw,28,10,0
Jarno,Errens,NULL,71,145,73,Orthodox,13,4,1
Nick,Ertl,NULL,69,155,NULL,NULL,8,6,0
Chel,Erwin-Davis,The First Sun,72,170,NULL,NULL,5,1,0
Bobby,Escalante,NULL,0,130,NULL,NULL,5,6,0
Eric,Esch,Butterbean,71,350,NULL,Orthodox,15,10,1
Pro,Escobedo,NULL,0,205,NULL,NULL,1,0,0
Cole,Escovedo,Apache Kid,67,135,72,Orthodox,17,9,0
Efrain,Escudero,Hecho En Mexico,69,155,71,Orthodox,28,12,0
Evan,Esguerra,NULL,0,145,NULL,NULL,8,7,0
Carla,Esparza,Cookie Monster,61,115,63,Orthodox,20,7,0
Juan,Espino,El Guapo,75,255,80,NULL,11,2,0
Jordan,Espinosa,The Gamer,66,125,69,Orthodox,15,9,0
Jodie,Esquibel,NULL,61,115,64,Orthodox,6,6,0
Rafael,Estevam,Macapa,68,125,69,Orthodox,11,0,0
Achilles,Estremadura,NULL,70,155,68,Orthodox,7,1,0
Shaun,Etchell,The Buzzsaw,67,125,68,Switch,7,3,0
Terry,Etim,NULL,73,155,73,Orthodox,16,5,0
Fred,Ettish,NULL,72,180,NULL,Southpaw,1,1,0
Scott,Ettling,NULL,0,135,NULL,NULL,4,2,0
Sijara,Eubanks,SarJ,64,125,67,Orthodox,8,7,0
Billy,Evangelista,NULL,68,155,68,Orthodox,13,3,0
Rashad,Evans,Suga,72,205,75,Orthodox,19,8,1
Doug,Evans,NULL,69,155,NULL,Orthodox,13,10,0
Ashlee,Evans-Smith,Rebel Girl,68,135,67,Orthodox,6,5,0
Dan,Evensen,The Viking,75,250,NULL,Orthodox,11,4,0
Tonya,Evinger,Triple Threat,67,135,70,Orthodox,19,8,0
Movsar,Evloev,NULL,67,145,72,Orthodox,16,0,0
Andre,Ewell,Mr. Highlight,68,145,75,Southpaw,17,9,0
Neal,Ewing,NULL,0,185,NULL,NULL,6,0,0
Jessica,Eye,Evil,66,125,66,Orthodox,15,11,0
Edward,Faaloloto,NULL,0,155,70,NULL,2,5,0
Urijah,Faber,The California Kid,66,135,67,Orthodox,35,11,0
Melinda,Fabian,NULL,66,125,66,NULL,4,4,2
Wagnney,Fabiano,The Silencer,66,145,69,Southpaw,16,4,0
Bartosz,Fabinski,The Butcher,72,170,75,Orthodox,15,5,0
Ron,Faircloth,NULL,69,205,NULL,Orthodox,33,20,0
Jason,Fairn,NULL,73,230,NULL,NULL,4,5,0
Zarah,Fairn,Infinite,68,145,72,Orthodox,6,4,0
Rinat,Fakhretdinov,Gladiator,72,170,74,Orthodox,19,1,0
Maiquel,Falcao,Big Rig,71,185,NULL,Orthodox,37,10,0
Pedro,Falcao,Pedrinho,66,135,66,Orthodox,15,3,0
Brodie,Farber,NULL,73,170,NULL,Orthodox,16,7,0
Joao Paulo,Faria,NULL,69,155,NULL,NULL,1,1,0
Kalindra,Faria,NULL,67,125,NULL,Switch,18,8,1
Chance,Farrar,NULL,69,145,NULL,Southpaw,8,3,0
Rico,Farrington,The Triggerman,76,170,79,Southpaw,7,3,0
Kelly,Faszholz,NULL,68,135,NULL,Orthodox,4,2,0
Rodney,Faverus,NULL,72,215,NULL,Southpaw,25,20,3
Paul,Felder,The Irish Dragon,71,155,70,Orthodox,17,6,0
Carlos,Felipe,Boi,72,245,75,Orthodox,11,2,0
JP,Felty,NULL,0,170,NULL,NULL,4,5,0
Kevin,Ferguson,Kimbo Slice,74,235,77,Orthodox,5,2,0
Rhadi,Ferguson,NULL,67,205,NULL,NULL,3,0,0
Tony,Ferguson,El Cucuy,71,155,76,Orthodox,26,8,0
Josh,Ferguson,Taz,65,125,NULL,Orthodox,10,5,0
CJ,Fernandes,NULL,74,170,NULL,NULL,14,8,3
Bibiano,Fernandes,NULL,67,139,NULL,Orthodox,20,3,0
Gabriella,Fernandes,Gabi,66,125,NULL,NULL,8,1,0
Alexandre,Ferreira,Cacareco,67,205,NULL,Orthodox,18,6,0
Cezar,Ferreira,Mutante,73,185,78,Southpaw,13,8,0
Diego,Ferreira,NULL,69,155,74,Orthodox,17,5,0
Erisson,Ferreira,Gato,66,125,70,Orthodox,12,2,0
Brunno,Ferreira,The Hulk,70,185,72,Orthodox,9,0,0
Scott,Ferrozzo,The Pitbull,71,323,NULL,Orthodox,4,2,0
Timo,Feucht,NULL,75,205,79,Orthodox,8,1,0
Andre,Fialho,NULL,72,170,74,Orthodox,16,5,0
Drew,Fickett,The Master,70,155,70,Orthodox,42,21,0
Scott,Fiedler,NULL,76,235,NULL,Orthodox,0,1,0
Ron,Fields,Killing,74,200,NULL,Orthodox,28,32,1
Michal,Figlak,Mad Dog,70,155,70,Orthodox,8,1,0
Deiveson,Figueiredo,Deus da Guerra,65,125,68,Orthodox,21,2,1
Francisco,Figueiredo,Sniper,66,125,68,Southpaw,13,5,1
Anthony,Figueroa,NULL,64,135,NULL,Orthodox,11,8,1
Edwin,Figueroa,El Feroz,67,135,69,Orthodox,9,5,0
Paulo,Filho,NULL,68,185,NULL,Southpaw,23,6,3
Jafel,Filho,Pastor,67,125,68,Orthodox,14,2,0
Andre,Fili,Touchy,71,145,74,Orthodox,22,9,0
Mirko,Filipovic,Cro Cop,74,230,73,Southpaw,35,11,2
Brady,Fink,NULL,72,183,NULL,Orthodox,2,3,0
Jesse,Finney,NULL,72,170,NULL,NULL,5,1,0
Jan,Finney,Cuddles,68,135,NULL,Orthodox,11,12,0
Luigi,Fioravanti,NULL,68,170,70,Orthodox,26,15,0
Manon,Fiorot,The Beast,67,125,65,Orthodox,10,1,0
Luiz,Firmino,Buscape,66,154,NULL,Orthodox,19,8,0
Spencer,Fisher,The King,67,155,68,Southpaw,24,9,0
Chris,Fishgold,NULL,68,145,68,Orthodox,18,4,1
Bryanna,Fissori,NULL,64,145,NULL,NULL,2,4,0
Jon,Fitch,NULL,72,170,74,Orthodox,30,7,1
Isi,Fitikefu,Doxz,70,205,NULL,NULL,6,0,0
Rafael,Fiziev,Ataman,68,155,71,Switch,12,1,0
Colin,Fletcher,The Freakshow,74,155,NULL,Orthodox,14,8,0
AJ,Fletcher,The Ghost,70,170,67,Switch,9,2,0
Jimmy,Flick,The Brick,67,125,68,Orthodox,16,5,0
Luke,Flores,NULL,72,155,73,Southpaw,9,2,0
Ty,Flores,Big Medicine,75,205,73,Switch,7,3,0
Alejandro,Flores,El Gallito,70,145,73,Orthodox,17,3,0
Kenny,Florian,KenFlo,70,145,74,Southpaw,14,6,0
Darrius,Flowers,Beast Mode,69,170,71,Orthodox,12,5,1
Cody,Floyd,NULL,0,NULL,NULL,NULL,2,0,0
Bobby,Flynn,NULL,0,170,NULL,NULL,6,4,0
Caros,Fodor,The Future,69,155,74,Orthodox,11,6,0
Mal,Foki,Twin Tiger,67,220,NULL,Orthodox,5,5,0
Matt,Foki,Twin Tiger,67,220,NULL,Orthodox,5,4,0
AJ,Fonseca,NULL,64,145,NULL,NULL,5,4,0
Rob,Font,NULL,68,135,71,Orthodox,19,6,0
Claudionor,Fontinelle,NULL,65,185,NULL,Orthodox,10,15,1
Jesse,Forbes,Kid Hercules,74,185,75,Southpaw,15,5,0
Sterling,Ford,NULL,70,155,NULL,NULL,15,7,0
Codale,Ford,Crunch Time,69,170,NULL,NULL,11,9,0
Jussier,Formiga,NULL,65,125,67,Orthodox,23,8,0
Renee,Forte,NULL,67,155,71,Orthodox,8,4,0
Brianna,Fortino,The Bull,60,115,62,Southpaw,9,3,0
Marcel,Fortuna,NULL,73,205,74,Orthodox,9,3,0
Brian,Foster,The Foster Boy,69,170,71,Orthodox,27,10,0
Xavier,Foupa-Pokam,Professor X,73,185,NULL,Open Stance,32,22,0
Mason,Fowler,NULL,71,170,NULL,NULL,2,0,0
Brandon,Foxworth,NULL,71,145,NULL,Orthodox,18,4,0
Hermes,Franca,NULL,66,155,71,Orthodox,24,17,0
Glaico,Franca Moreira,Nego,72,155,77,Orthodox,15,5,0
Francisco,France,Kiko,72,205,NULL,NULL,13,5,1
John,Franchi,NULL,66,145,67,Orthodox,6,2,0
Rich,Franklin,Ace,73,185,76,Southpaw,29,7,0
Zoila,Frausto,Warrior Princess,64,135,NULL,Orthodox,13,5,0
Stephanie,Frausto,Lil Bovy,62,115,61,Orthodox,8,7,0
Zane,Frazier,Nasty,77,250,NULL,Orthodox,4,11,0
Gary,Frazier,NULL,72,245,NULL,Orthodox,3,3,0
Justin,Frazier,The Grizzly Bear,72,265,75,Southpaw,10,3,0
Ian,Freeman,The Machine,71,225,NULL,Orthodox,20,7,1
Jason,Freeman,NULL,74,225,NULL,NULL,6,4,0
Willamy,Freire,Chiquerim,68,155,NULL,NULL,26,6,0
Patricio,Freire,Pitbull,65,145,65,NULL,26,4,0
Patricky,Freire,Pitbull,67,155,71,NULL,17,8,0
Jeremy,Freitag,NULL,73,205,NULL,NULL,6,10,0
Rafael,Freitas,Capoeira,0,205,NULL,Orthodox,3,6,0
Donavon,Frelow,NULL,67,135,NULL,Orthodox,6,3,0
Josh,Fremd,NULL,76,185,76,Orthodox,9,4,0
Clay,French,NULL,67,161,NULL,Southpaw,19,7,0
Mike,French,NULL,70,145,NULL,NULL,9,10,0
Matt,Frevola,The SteamRolla,69,155,71,Orthodox,10,3,1
Jinh Yu,Frey,NULL,63,115,65,Southpaw,11,8,0
Artem,Frolov,NULL,70,185,NULL,NULL,11,0,0
Sarah,Frota,A Treta,66,125,69,Southpaw,9,2,0
Don,Frye,The Predator,73,219,NULL,Orthodox,20,9,1
Tony,Fryklund,The Freak,72,185,NULL,Orthodox,14,9,1
Adam,Fugitt,NULL,73,170,77,Southpaw,8,3,0
Jesse,Fujarczyk,The Ronin,76,225,NULL,Southpaw,2,2,0
Katsuhisa,Fujii,Shamoji,72,205,NULL,Orthodox,9,18,1
Megumi,Fujii,Mega Megu,63,113,NULL,NULL,26,3,0
Kazuyuki,Fujita,Ironhead,72,235,NULL,Orthodox,15,12,0
Keisuke,Fujiwara,NULL,66,139,NULL,Switch,17,12,5
Riki,Fukuda,NULL,72,185,73,Southpaw,24,9,0
Masio,Fullen,Lobo,70,145,70,Orthodox,11,7,0
Travis,Fulton,The Ironman,72,240,NULL,Orthodox,253,53,10
Sam,Fulton,NULL,0,NULL,NULL,NULL,0,2,0
Masakatsu,Funaki,NULL,72,185,NULL,Southpaw,39,13,2
Ricardo,Funch,Golden Boy,70,170,74,Southpaw,9,6,0
Katsuaki,Furuki,NULL,72,168,NULL,NULL,1,1,0
James,Gabert,NULL,0,178,NULL,NULL,6,4,0
Gustavo,Gabriel,NULL,66,125,NULL,Orthodox,13,1,0
Claudia,Gadelha,Claudinha,64,115,63,Orthodox,18,5,0
Alavutdin,Gadjiev,NULL,74,185,NULL,Orthodox,18,13,1
Justin,Gaethje,The Highlight,71,155,70,Orthodox,23,4,0
Sheila,Gaff,The German Tank,65,135,NULL,Orthodox,9,7,0
Muin,Gafurov,Tajik,67,135,68,Southpaw,17,4,0
Mitch,Gagnon,NULL,65,135,65,Southpaw,12,5,0
Brandon,Gaines,NULL,75,185,NULL,NULL,5,21,0
Travis,Galbraith,The Gladiator,72,170,NULL,Orthodox,18,7,0
Dave,Galera,Scarecrow,71,135,NULL,Orthodox,5,1,0
Zelg,Galesic,Benkei,74,185,NULL,Orthodox,11,9,0
Mickey,Gall,NULL,74,170,74,Switch,7,5,0
Daniel,Gallemore,Big Kansas,77,265,NULL,NULL,7,3,0
Tom,Gallicchio,Da Tank,70,170,NULL,Southpaw,19,10,0
Turrell,Galloway,NULL,63,145,NULL,NULL,8,6,0
Eric,Galvan,NULL,0,155,NULL,NULL,0,0,0
Andre,Galvao,NULL,67,168,NULL,Orthodox,5,2,0
Marcos,Galvao,Loro,67,135,NULL,Orthodox,18,8,1
Lucas,Gamaza,NULL,0,170,NULL,NULL,8,4,0
Joey,Gambino,The Raging Warrior,67,145,NULL,Orthodox,9,2,0
Manvel,Gamburyan,The Anvil,65,135,67,Orthodox,15,10,0
Mateusz,Gamrot,Gamer,70,155,70,Southpaw,21,2,0
Shamil,Gamzatov,NULL,74,205,76,Orthodox,14,1,0
Ariel,Gandulla,NULL,71,205,NULL,Orthodox,7,9,0
Ciryl,Gane,Bon Gamin,76,245,81,Orthodox,11,1,0
Sean,Gannon,The Cannon,75,265,NULL,Southpaw,2,1,0
Eduardo,Garagorri,NULL,69,145,70,Orthodox,13,2,0
Cody,Garbrandt,No Love,68,135,65,Orthodox,12,5,0
Leonard,Garcia,Bad Boy,70,145,68,Orthodox,18,13,1
Edgar,Garcia,NULL,70,170,71,Orthodox,14,5,0
Alejandro,Garcia,Alex,67,145,NULL,NULL,14,10,0
Alex,Garcia,The Dominican Nightmare,69,170,72,Orthodox,15,6,0
Nick,Garcia,Nitro,64,125,NULL,NULL,8,3,0
Steve,Garcia,Mean Machine,72,145,75,Southpaw,13,5,0
Elias,Garcia,NULL,65,125,67,Southpaw,6,2,0
Rafa,Garcia,Gifted,67,155,70,Orthodox,14,3,0
Fernie,Garcia,NULL,67,135,67,Orthodox,10,2,0
Rulon,Gardner,NULL,75,265,NULL,Orthodox,1,0,0
David,Gardner,NULL,71,155,NULL,Orthodox,18,21,0
Ian,Garry,The Future,75,170,74,Orthodox,10,0,0
Pablo,Garza,The Scarecrow,73,145,73,Orthodox,12,4,0
Azamat,Gashimov,NULL,66,125,NULL,Orthodox,8,3,0
Brian,Gassaway,NULL,73,170,NULL,Orthodox,29,20,2
Kelvin,Gastelum,NULL,69,185,71,Southpaw,17,8,0
Willie,Gates,NULL,68,125,72,Orthodox,12,7,0
Melissa,Gatto,NULL,65,125,69,Orthodox,8,1,2
Louis,Gaudinot,Goodnight,63,125,63,Orthodox,8,4,0
Manuel,Gaxhja,NULL,68,155,NULL,Switch,7,0,0
Charlene,Gellner,Princess,62,125,NULL,NULL,0,4,0
Chad,George,Savage,66,135,68,Southpaw,16,8,0
Paul,Georgieff,NULL,74,170,NULL,Orthodox,6,2,0
Brian,Geraghty,Duke,67,155,NULL,Orthodox,26,18,1
Derek,Getzel,The Pretzel,72,155,NULL,NULL,8,5,0
Karine,Gevorgyan,The Princess,64,125,63,NULL,3,3,0
Darrel,Gholar,NULL,68,194,NULL,Orthodox,5,6,0
Tiki,Ghosn,NULL,70,170,NULL,Orthodox,10,7,1
Christos,Giagos,The Spartan,70,155,71,Orthodox,19,10,0
Joe,Giannetti,NULL,72,155,74,Southpaw,6,1,0
Nick,Gibbons,NULL,70,155,NULL,NULL,2,1,0
James,Giboo,NULL,71,170,NULL,Orthodox,13,5,0
Lance,Gibson,Fearless,69,185,NULL,Orthodox,4,5,0
Lee,Gibson,Lethal,67,155,NULL,NULL,12,4,0
Cody,Gibson,The Renegade,70,135,71,Orthodox,15,7,0
Chase,Gibson,El Guero,70,155,72,Orthodox,9,5,0
Kenny,Giddens,NULL,71,155,NULL,NULL,12,7,0
Thomas,Gifford,The Young Lion,73,155,75,Orthodox,14,9,0
Joseph,Gigliotti,Capo,71,185,NULL,Orthodox,7,2,0
Joey,Gilbert,NULL,71,155,NULL,Orthodox,2,3,0
Trevin,Giles,NULL,72,170,74,Orthodox,15,4,0
Kultar,Gill,Black Mamba,72,154,NULL,Orthodox,12,8,0
Jesse,Gillespie,NULL,0,185,NULL,NULL,3,2,0
Gregor,Gillespie,The Gift,67,155,71,Orthodox,14,1,0
Jason,Gilliam,NULL,72,170,NULL,Orthodox,14,9,0
Micheal,Gillmore,The Gentleman,71,170,72,Orthodox,6,5,0
Krishaun,Gilmore,NULL,0,NULL,NULL,NULL,0,1,0
Alex,Gilpin,NULL,67,145,NULL,Orthodox,11,1,0
Bob,Gilstrap,NULL,75,200,NULL,Orthodox,5,7,0
Demetrius,Gioulacos,NULL,71,185,NULL,NULL,0,1,0
Billy,Giovanella,Wolverine,68,125,NULL,NULL,9,5,0
He-Man,Gipson,NULL,0,NULL,NULL,NULL,1,2,0
Israel,Giron,El Rojo,68,155,NULL,NULL,19,5,0
Brandon,Girtz,Cold Roll,67,155,NULL,NULL,14,7,0
Jason,Glaza,NULL,72,230,NULL,NULL,3,2,0
Mike,Glenn,NULL,0,205,NULL,NULL,5,6,0
Ricky,Glenn,The Gladiator,72,155,70,Southpaw,22,6,2
Mark,Godbeer,The Hand Of,76,240,77,Orthodox,13,4,0
Clint,Godfrey,NULL,66,135,NULL,Southpaw,13,3,0
Loopy,Godinez,NULL,62,115,61,Orthodox,8,3,0
Jason,Godsey,NULL,74,230,NULL,Orthodox,16,16,0
Allan,Goes,NULL,72,205,NULL,Orthodox,10,5,2
Billy,Goff,NULL,0,170,NULL,Switch,8,2,0
Amiran,Gogoladze,NULL,73,170,74,Switch,14,3,0
Jonny,Goh,NULL,71,155,NULL,NULL,3,4,0
Hannah,Goldy,24K,64,115,61,Orthodox,6,3,0
Marcelo,Golm,NULL,75,249,75,Orthodox,6,3,0
Denise,Gomes,Dee,62,115,63,Orthodox,6,2,0
Sergio,Gomez,NULL,66,155,NULL,Orthodox,10,3,0
Frank,Gomez,NULL,70,135,67,Orthodox,10,6,0
Alan,Gomez,NULL,0,155,NULL,NULL,2,0,0
David,Gomez,NULL,0,155,NULL,NULL,1,2,0
Ulysses,Gomez,Useless,66,125,NULL,Orthodox,9,5,0
Joey,Gomez,KO King,70,135,73,Orthodox,6,2,0
Luis,Gomez,Tiger Junior,67,145,68,Orthodox,4,1,0
Joey,Gomez,NULL,70,155,71,Orthodox,7,1,0
Edson,Gomez,NULL,68,170,69,Switch,6,2,0
Silvana,Gomez Juarez,La Malvada,63,115,65,Orthodox,11,5,0
Takanori,Gomi,The Fireball Kid,67,155,70,Southpaw,35,14,0
William,Gomis,Jaguar,72,145,73,Southpaw,11,2,0
Akihiro,Gono,NULL,67,170,68,Switch,35,21,8
Gabriel,Gonzaga,Napao,74,242,76,Orthodox,17,11,0
Justin,Gonzales,J-Train,69,145,72,Orthodox,6,0,0
Fernando,Gonzalez,The Menifee Maniac,69,170,68,Southpaw,26,14,0
Nick,Gonzalez,The Ghost,66,155,NULL,Orthodox,17,12,0
Fabian,Gonzalez,NULL,70,135,NULL,NULL,2,1,0
Lewis,Gonzalez,Lethal,70,170,NULL,Orthodox,11,3,0
Jason,Gonzalez,Nicoya,74,155,74,Southpaw,11,5,0
Pearl,Gonzalez,NULL,64,115,NULL,Orthodox,6,3,0
Jorge,Gonzalez,Street,74,205,76,Orthodox,16,4,0
Mikey,Gonzalez,Rolls,71,155,74,Orthodox,7,2,0
Erick,Gonzalez,The Ghost Pepper,71,155,75,Orthodox,14,7,0
Jennifer,Gonzalez,Jefa,62,125,NULL,NULL,13,5,0
Kier,Gooch,NULL,0,155,NULL,NULL,2,7,0
Lyman,Good,Cyborg,72,170,74,Orthodox,21,6,0
Jared,Gooden,NiteTrain,72,170,77,Orthodox,18,7,0
Gary,Goodridge,Big Daddy,75,249,NULL,Orthodox,23,22,1
Jordan,Goodwin,NULL,0,155,NULL,NULL,0,0,0
Gerard,Gordeau,NULL,77,216,NULL,Orthodox,2,2,0
Eddie,Gordon,Truck,72,185,76,Orthodox,8,4,0
Jared,Gordon,Flash,69,155,68,Orthodox,19,5,0
Tebaris,Gordon,Boom,73,265,NULL,Orthodox,3,1,0
Malcolm,Gordon,X,67,125,71,Switch,14,6,0
Tresean,Gore,Mr. Vicious,72,185,75,Switch,5,2,0
Alex,Gorgees,Hitman,74,155,74,Switch,6,1,0
Themba,Gorimbo,The Answer,72,170,NULL,NULL,10,3,0
Tim,Gorman,The Psycho,65,135,NULL,Southpaw,9,4,0
Chase,Gormley,NULL,75,265,NULL,Orthodox,14,6,0
Jonathan,Goulet,The Road Warrior,72,170,73,Orthodox,23,12,0
Thibault,Gouti,GT,70,155,72,Orthodox,12,5,0
Wilson,Gouveia,NULL,73,185,76,Orthodox,14,8,0
Todd,Gouwenberg,NULL,73,205,NULL,Orthodox,9,5,0
Hugo,Govea,NULL,0,NULL,NULL,NULL,0,1,0
Justin,Governale,The Therapist,0,145,NULL,NULL,5,5,0
Damian,Grabowski,The Polish Pitbull,73,241,75,Orthodox,20,5,0
Royce,Gracie,NULL,73,175,NULL,Southpaw,15,2,3
Crosley,Gracie,NULL,69,190,NULL,Orthodox,2,2,0
Daniel,Gracie,NULL,74,225,NULL,Orthodox,5,4,1
Ralph,Gracie,NULL,69,183,NULL,Orthodox,6,1,0
Renzo,Gracie,NULL,70,185,NULL,Orthodox,13,7,1
Rickson,Gracie,NULL,70,185,NULL,Switch,11,0,0
Rodrigo,Gracie,NULL,72,183,NULL,Orthodox,6,2,1
Royler,Gracie,NULL,68,150,NULL,Southpaw,5,5,1
Ryan,Gracie,NULL,69,200,NULL,Orthodox,5,2,0
Ralek,Gracie,NULL,74,210,NULL,Orthodox,3,1,0
Rolles,Gracie,NULL,76,242,NULL,Orthodox,8,4,0
Cesar,Gracie,NULL,70,181,NULL,Orthodox,0,1,0
Roger,Gracie,NULL,76,185,79,Orthodox,8,2,0
Igor,Gracie,NULL,71,170,NULL,NULL,5,4,0
Neiman,Gracie,NULL,72,170,NULL,NULL,6,0,0
Kron,Gracie,NULL,69,145,70,Southpaw,5,1,0
Steven,Graham,NULL,73,290,NULL,Orthodox,2,1,0
Scott,Graham,NULL,76,185,NULL,Orthodox,3,1,0
Miranda,Granger,Danger,67,115,68,Orthodox,7,3,0
TJ,Grant,NULL,70,155,72,Orthodox,21,5,0
Davey,Grant,Dangerous,68,135,69,Orthodox,14,6,0
Dwight,Grant,The Body Snatcher,73,185,76,Switch,11,6,0
Alexa,Grasso,NULL,65,125,66,Orthodox,15,3,0
Tony,Gravely,NULL,65,135,69,Orthodox,23,8,0
Michael,Graves,NULL,70,170,71,Orthodox,6,0,1
Shelton,Graves,The Gravedigger,74,255,76,Southpaw,7,3,0
James,Gray,The Phenom,69,135,NULL,Orthodox,4,1,0
Kevin,Gray,Pocket Herc,64,125,67,Orthodox,9,4,0
Sam,Greco,NULL,74,205,NULL,Orthodox,3,1,1
Bobby,Green,King,70,155,71,Orthodox,29,13,1
Desmond,Green,The Predator,70,155,73,Southpaw,23,8,0
Gabe,Green,Gifted,70,170,73,Switch,11,4,0
Maurice,Greene,The Crochet Boss,79,258,80,Orthodox,9,7,0
Matt,Grice,The Real One,68,145,70,Orthodox,15,5,0
Forrest,Griffin,NULL,75,205,77,Orthodox,19,7,0
Tyson,Griffin,NULL,66,145,68,Orthodox,16,8,0
Max,Griffin,Pain,71,170,76,Orthodox,19,9,0
Jordan,Griffin,Native Psycho,70,145,73,Southpaw,18,9,0
Chad,Griggs,The Grave Digger,73,205,73,Orthodox,11,3,0
Chuck,Grigsby,The Reverend,78,205,NULL,Orthodox,23,10,0
Rodrigo,Gripp de Sousa,Riscado,71,205,NULL,Orthodox,7,9,0
Maxim,Grishin,Maximus,75,205,78,Orthodox,32,9,2
Josh,Grispi,The Fluke,71,145,74,Orthodox,14,5,0
Garrett,Gross,NULL,69,155,NULL,Orthodox,11,7,0
Kendall,Grove,Da Spyder,78,185,79,Orthodox,23,17,0
Neil,Grove,Goliath,78,265,NULL,Orthodox,12,8,1
Chris,Gruetzemacher,Gritz,68,155,68,Orthodox,15,5,0
Vik,Grujic,The Spartan,71,170,73,Orthodox,6,6,0
Mike,Grundy,NULL,67,145,72,Orthodox,12,4,0
Wang,Guan,The Dongbei Tiger,69,145,71,Orthodox,20,1,1
Nandor,Guelmino,The Hun,75,230,NULL,NULL,11,5,1
Fabricio,Guerreiro,NULL,70,145,NULL,NULL,21,5,0
Shannon,Gugerty,NULL,70,155,71,Orthodox,15,7,0
Clay,Guida,The Carpenter,67,155,70,Orthodox,37,19,0
Jason,Guida,NULL,70,214,NULL,NULL,19,28,0
Melvin,Guillard,The Young Assassin,69,155,71,Orthodox,32,18,2
Chris,Guillen,NULL,72,240,NULL,Orthodox,13,16,0
Marcelo,Guimaraes,Magrao,72,185,73,Orthodox,9,2,1
Leonardo,Guimaraes,Leleco,72,185,NULL,Orthodox,11,5,0
Brad,Gumm,NULL,71,170,NULL,Orthodox,10,6,1
John,Gunderson,Quick Guns,69,155,69,Orthodox,35,16,2
John,Gunther,The Machine,69,155,72,Orthodox,5,1,0
Jorge,Gurgel,NULL,67,155,69,Orthodox,14,10,0
Fabio,Gurgel,NULL,72,205,NULL,Orthodox,3,2,0
Gugun,Gusman,The Tiger,67,135,68,Orthodox,8,4,0
Andre,Gusmao,NULL,72,205,NULL,Orthodox,6,3,0
Alexander,Gustafsson,The Mauler,77,205,79,Orthodox,18,8,0
